label,word,expression
abort,abort,[A-Za-zÀ-ÿ-]*abort[A-Za-zÀ-ÿ-]*
könssjukdom,aids,aids[A-Za-zÀ-ÿ-]*
samlag,analsex,[A-Za-zÀ-ÿ-]*analsex[A-Za-zÀ-ÿ-]*
hbtq,bisex,[A-Za-zÀ-ÿ-]*bisex[A-Za-zÀ-ÿ-]*
abort,fosterfördriv,[A-Za-zÀ-ÿ-]*fosterfördriv[A-Za-zÀ-ÿ-]*
störning,frigid,[A-Za-zÀ-ÿ-]*frigid[A-Za-zÀ-ÿ-]*
könssjukdom,gonorreé,[A-Za-zÀ-ÿ-]*gonorr[e|é][A-Za-zÀ-ÿ-]*
preventivmedel,gummivar,[A-Za-zÀ-ÿ-]*gummivar[A-Za-zÀ-ÿ-]*
hbtq,heterosex,[A-Za-zÀ-ÿ-]*heterosex[A-Za-zÀ-ÿ-]*
könssjukdom,hiv,hiv[A-Za-zÀ-ÿ-]*
hbtq,homosex,[A-Za-zÀ-ÿ-]*homosex[A-Za-zÀ-ÿ-]*
samlag,hångella,[A-Za-zÀ-ÿ-]*hånge(?:l|la)[A-Za-zÀ-ÿ-]*
störning,impotens,[A-Za-zÀ-ÿ-]*impotens[A-Za-zÀ-ÿ-]*
könssjukdom,klamydia,[A-Za-zÀ-ÿ-]*klamydia[A-Za-zÀ-ÿ-]*
preventivmedel,kondom,[A-Za-zÀ-ÿ-]*kondom[A-Za-zÀ-ÿ-]*
könssjukdom,könsherpes,[A-Za-zÀ-ÿ-]*könsherpes[A-Za-zÀ-ÿ-]*
samlag,könsorgan,[A-Za-zÀ-ÿ-]*könsorgan[A-Za-zÀ-ÿ-]*
könssjukdom,könssjukdom,[A-Za-zÀ-ÿ-]*könssjukdom[A-Za-zÀ-ÿ-]*
hbtq,masochis,[A-Za-zÀ-ÿ-]*masochis[A-Za-zÀ-ÿ-]*
störning,masturbae,[A-Za-zÀ-ÿ-]*masturb[a|e][A-Za-zÀ-ÿ-]*
störning,onanie,[A-Za-zÀ-ÿ-]*onan[i|e][A-Za-zÀ-ÿ-]*
sexköp,osedlig,[A-Za-zÀ-ÿ-]*osedlig[A-Za-zÀ-ÿ-]*
hbtq,otukt,[A-Za-zÀ-ÿ-]*otukt[A-Za-zÀ-ÿ-]*
könssjukdom,ppiller,[A-Za-zÀ-ÿ-]*p-piller[A-Za-zÀ-ÿ-]*
hbtq,pervers,[A-Za-zÀ-ÿ-]*pervers[A-Za-zÀ-ÿ-]*
preventivmedel,pessar,[A-Za-zÀ-ÿ-]*pessar[A-Za-zÀ-ÿ-]*
samlag,petting,[A-Za-zÀ-ÿ-]*petting[A-Za-zÀ-ÿ-]*
porr,porrno,[A-Za-zÀ-ÿ-]*por(?:r|no)[A-Za-zÀ-ÿ-]*
preventivmedel,preventivmed,[A-Za-zÀ-ÿ-]*preventivmed[A-Za-zÀ-ÿ-]*
sexköp,prostitu,[A-Za-zÀ-ÿ-]*prostitu[A-Za-zÀ-ÿ-]*
samlag,samlag,[A-Za-zÀ-ÿ-]*samlag[A-Za-zÀ-ÿ-]*
sexköp,sexköp,[A-Za-zÀ-ÿ-]*sexköp[A-Za-zÀ-ÿ-]*
sexköp,sexhand,[A-Za-zÀ-ÿ-]*sexhand[A-Za-zÀ-ÿ-]*
sexuell,sexuell,sexuell[A-Za-zÀ-ÿ-]*
sexuell,sexual,sexual[A-Za-zÀ-ÿ-]*
sexköp,sexualmoral,[A-Za-zÀ-ÿ-]*sexualmoral[A-Za-zÀ-ÿ-]*
sexualupplysning,sexualundervis,[A-Za-zÀ-ÿ-]*sexualundervis[A-Za-zÀ-ÿ-]*
sexualupplysning,sexualupplys,[A-Za-zÀ-ÿ-]*sexualupplys[A-Za-zÀ-ÿ-]*
preventivmedel,steriliser,[A-Za-zÀ-ÿ-]*steriliser[A-Za-zÀ-ÿ-]*
könssjukdom,syfilis,[A-Za-zÀ-ÿ-]*syfilis[A-Za-zÀ-ÿ-]*
hbtq,transsex,[A-Za-zÀ-ÿ-]*transsex[A-Za-zÀ-ÿ-]*
hbtq,transvesti,[A-Za-zÀ-ÿ-]*transvesti[A-Za-zÀ-ÿ-]*
våldtäkt,våldtaäkt,[A-Za-zÀ-ÿ-]*våldt(?:a|äkt)[A-Za-zÀ-ÿ-]*
