,abort,aids,analsex,bisexualitet,fosterfördrivning,frigiditet,gonorré,gummivaror,heterosexualitet,hiv,homosex,homosexualitet,hångel,hångla,impotens,kondom,könsorgan,könssjukdom,masochism,masturbation,onani,osedlig,otukt,p-piller,pervers,perversions,pessar,petting,pornografi,preventivmedel,prostitution,samlag,samlagsställning,sexhandel,sexköp,sexualitet,sexualmoral,sexualundervisning,sexualupplysning,sexuell,sterilisering,syfilis,transsexualism,transvestism,våldtäkt
1900,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,31,0,0,3
1901,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,2
1902,1,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,5,10,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,62,0,0,1
1903,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,12,0,0,6
1904,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,8,0,0,5
1905,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,3,5,0,0,0
1906,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,8,3,1,0,0,11
1907,1,1,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,21,0,8,0,0,0,1,1,4,1,0,0,0,0,0,0,0,5,0,3,0,0,9
1908,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,52,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,18,1,2,0,0,4
1909,1,0,0,0,0,0,0,21,0,0,0,2,0,0,2,0,0,0,0,0,2,7,20,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,18,3,3,0,0,4
1910,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,9,26,0,2,0,0,0,1,16,13,2,0,0,0,0,0,0,0,55,4,16,0,0,13
1911,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,6,0,0,0,22,24,0,1,0,0,0,1,7,4,1,0,0,0,0,0,0,0,11,9,11,0,0,5
1912,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,4,5,0,2,0,0,0,1,6,2,0,0,0,0,1,0,0,0,6,8,16,0,0,3
1913,3,2,0,0,5,0,1,3,0,0,0,0,0,0,1,0,0,6,0,0,0,5,10,0,4,0,0,0,0,1,4,0,0,0,0,1,0,0,0,8,6,10,0,0,10
1914,1,1,0,0,2,0,0,12,0,0,0,1,2,0,2,0,0,2,0,0,0,2,15,0,7,0,0,0,0,2,0,3,0,0,0,0,0,0,0,6,1,2,0,0,4
1915,0,1,0,0,0,0,1,14,0,2,0,0,0,0,0,0,0,12,0,0,0,5,3,0,5,0,0,0,1,1,1,0,0,0,0,2,0,0,0,12,0,3,0,0,8
1916,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,10,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,9,0,0,7
1917,1,3,0,0,1,0,2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,2,7,0,0,4
1918,1,5,0,0,7,0,0,113,0,2,0,0,0,0,1,0,0,6,0,0,0,1,13,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,5,3,0,0,1
1919,2,2,0,0,9,0,0,36,0,0,0,1,0,0,0,0,0,3,0,0,0,2,5,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,6,1,5,0,0,6
1920,0,2,0,0,20,0,1,14,0,0,0,0,0,0,1,0,3,1,0,0,1,3,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,2,0,0,5
1921,5,0,0,0,11,0,0,22,0,1,0,1,0,0,19,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,15,0,12,0,0,4
1922,1,1,0,0,11,0,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,4,0,0,0,0,4,3,2,0,0,0,1,0,1,0,13,22,7,0,0,2
1923,0,0,0,0,3,0,0,30,0,2,0,0,0,0,1,0,0,1,0,0,0,3,14,0,2,0,0,0,0,2,0,4,0,0,0,1,0,0,0,22,8,8,0,0,12
1924,0,0,0,0,9,0,0,57,0,0,0,0,0,0,4,0,1,1,0,0,0,1,9,0,5,0,0,0,0,2,1,2,0,0,0,2,0,0,0,4,15,4,0,0,8
1925,1,0,0,0,10,0,0,10,0,0,0,1,1,0,1,0,2,1,0,0,0,4,3,0,0,0,0,0,2,4,3,1,0,0,0,1,0,1,0,10,20,5,0,0,11
1926,2,0,0,0,11,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,1,4,6,0,3,0,1,0,0,0,4,5,0,0,0,0,0,0,0,14,8,3,0,0,6
1927,2,0,0,0,23,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,0,3,0,0,0,0,1,3,4,0,0,0,3,0,1,0,11,13,20,0,0,11
1928,4,0,0,0,13,0,0,8,0,1,0,0,0,0,4,0,0,0,0,0,0,0,13,0,2,0,0,0,0,5,1,0,0,0,0,2,0,0,0,25,22,5,0,0,9
1929,0,0,0,0,29,0,1,13,0,2,0,0,2,1,2,0,0,0,0,0,0,1,24,0,7,0,0,0,0,1,3,3,0,0,0,0,0,2,0,20,26,8,0,0,6
1930,7,0,0,0,14,0,0,40,0,1,0,0,1,0,0,0,2,0,0,0,4,0,20,0,2,0,0,0,0,1,2,4,0,0,0,3,2,0,0,32,5,4,0,0,7
1931,10,0,0,0,27,0,2,19,0,0,0,2,0,1,2,0,0,0,0,0,0,1,15,0,2,0,0,0,1,4,4,1,0,0,0,3,1,1,0,36,32,5,0,0,11
1932,3,1,0,0,15,0,0,4,0,1,0,17,0,0,0,0,1,0,0,0,1,3,14,0,7,0,0,0,1,2,2,0,0,0,0,6,0,0,1,42,2,8,0,0,10
1933,6,1,0,0,18,0,0,16,0,1,0,7,0,0,1,0,0,0,0,0,0,1,15,0,4,0,0,0,1,2,4,0,0,0,0,1,0,0,1,70,39,3,0,0,4
1934,9,0,0,0,20,0,3,45,0,0,0,2,0,0,0,0,1,1,0,1,0,1,7,0,0,0,0,0,8,14,0,0,0,0,0,3,0,3,1,118,67,9,0,0,7
1935,27,0,0,1,40,0,0,75,0,1,0,3,0,1,0,0,0,0,1,0,0,0,6,0,2,0,0,0,3,2,0,2,0,0,0,6,2,3,3,86,14,2,0,0,8
1936,8,0,0,0,14,0,0,59,0,0,0,2,0,0,1,0,0,0,0,0,0,0,13,0,3,0,0,0,0,3,3,1,0,0,0,2,0,3,1,28,20,0,0,0,5
1937,11,0,0,0,27,0,0,7,0,1,0,3,0,0,0,0,1,0,0,0,0,2,8,0,7,0,1,0,0,3,0,0,0,0,0,0,2,4,2,56,16,2,0,0,8
1938,19,0,0,0,13,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,2,8,0,2,0,0,0,4,15,4,0,0,0,0,2,1,6,1,32,14,5,0,0,10
1939,1,0,0,0,6,0,1,0,0,3,0,3,0,0,0,0,0,2,0,0,1,2,6,0,0,0,0,0,0,0,3,1,0,0,0,0,1,3,2,20,8,5,0,0,3
1940,5,0,0,0,18,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,23,11,1,0,0,1
1941,8,0,0,0,35,0,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,12,0,3,0,0,0,1,4,3,0,0,0,0,0,1,6,1,23,25,6,0,0,11
1942,15,0,0,0,32,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29,0,5,0,0,0,0,0,1,1,0,0,0,1,0,13,0,33,11,0,0,0,18
1943,14,0,0,0,51,0,6,4,0,1,0,1,0,0,8,0,0,6,0,0,0,2,24,0,5,0,0,0,0,2,0,1,0,0,0,2,2,8,3,20,14,7,0,0,13
1944,7,0,0,0,30,0,16,10,0,2,0,2,0,0,0,0,0,6,0,0,1,1,24,0,0,0,0,0,0,5,2,2,0,0,0,3,7,25,3,39,10,15,0,0,14
1945,32,1,0,0,36,1,11,10,0,0,0,0,1,1,3,0,0,11,0,0,3,3,26,0,2,0,1,0,5,8,3,5,0,0,0,2,0,3,4,48,7,11,0,0,26
1946,31,2,0,0,22,0,7,10,0,0,0,2,3,0,8,0,0,2,8,0,0,0,29,0,3,0,0,0,2,13,0,3,0,0,0,3,1,7,4,49,9,28,0,0,19
1947,13,0,0,0,16,2,2,7,0,0,0,2,0,0,5,0,1,1,0,0,3,1,30,0,4,0,0,0,2,6,2,3,0,0,0,4,0,4,4,16,24,9,0,0,17
1948,43,0,0,1,14,0,1,7,0,1,0,13,2,0,3,0,5,1,0,11,9,0,16,0,8,0,1,0,4,12,0,27,0,0,0,5,2,1,3,72,17,10,0,0,24
1949,23,0,0,0,10,1,0,5,0,0,0,5,0,1,5,0,1,1,0,0,2,3,22,0,4,0,0,0,8,7,11,8,0,0,0,17,2,4,0,42,19,6,0,0,32
1950,12,0,0,0,10,3,1,14,0,0,0,25,2,1,3,0,5,0,1,0,1,2,49,0,11,0,0,0,2,5,5,2,0,0,0,10,4,3,7,48,25,12,0,0,24
1951,45,0,0,0,4,1,6,13,0,0,5,54,1,0,4,0,4,0,0,0,2,0,136,0,4,0,29,1,3,28,6,9,0,0,0,1,4,12,3,83,37,13,0,0,29
1952,79,1,0,0,15,0,2,6,0,0,3,21,1,1,3,0,0,2,1,0,1,0,77,0,3,0,35,5,3,83,5,6,0,0,0,8,0,12,0,114,23,8,0,0,26
1953,41,1,0,1,4,4,6,10,0,2,1,46,2,0,1,1,0,2,0,0,8,2,75,0,5,0,2,12,6,53,7,34,0,0,0,14,1,5,3,134,9,7,0,0,25
1954,32,0,0,0,9,1,2,23,0,0,0,10,0,1,3,0,2,2,0,0,3,2,47,0,1,0,0,2,12,54,7,10,0,0,0,3,1,18,15,99,7,13,0,0,42
1955,46,1,0,0,18,0,4,6,0,1,4,6,3,0,0,24,0,2,0,2,1,0,44,0,2,0,1,2,7,35,16,6,0,0,0,7,12,14,1,71,17,10,0,0,30
1956,42,1,0,0,7,6,3,4,0,1,2,9,0,0,6,39,0,1,0,0,1,2,65,0,1,0,0,0,5,91,5,6,0,0,0,2,7,14,6,29,13,8,0,0,50
1957,50,2,0,0,18,2,1,4,0,1,3,15,1,1,3,0,2,1,0,0,0,4,45,0,3,0,0,6,28,27,10,10,0,0,0,17,2,2,4,40,10,16,0,0,56
1958,47,1,0,0,9,1,4,8,0,0,2,2,2,1,43,0,3,3,0,0,2,1,77,0,0,0,2,6,8,19,13,7,0,0,0,6,1,3,1,31,10,6,0,0,73
1959,15,1,0,0,5,0,4,1,1,1,0,6,1,1,85,0,3,3,1,0,0,2,110,0,1,0,1,0,15,8,16,8,0,0,0,6,1,4,1,21,9,4,0,0,113
1960,17,0,0,0,6,3,12,2,0,2,0,5,1,0,78,0,2,3,0,0,0,4,73,0,2,0,2,7,15,20,9,14,0,0,0,3,0,7,1,24,19,1,0,0,87
1961,7,0,0,0,12,2,5,4,1,0,2,7,3,0,12,0,1,3,0,0,3,2,63,0,3,0,0,1,16,18,2,7,0,0,0,5,3,6,3,40,8,2,0,0,83
1962,113,0,0,0,9,1,3,1,0,2,1,1,5,0,5,0,1,2,0,0,5,2,49,0,1,0,6,3,14,21,12,21,0,0,0,10,12,31,5,31,8,3,0,0,84
1963,177,1,0,0,9,3,15,5,0,2,0,16,0,0,4,4,1,0,1,1,1,2,113,0,2,0,1,1,9,22,13,35,0,0,0,12,3,18,5,50,23,6,0,0,66
1964,145,0,0,1,9,3,4,2,0,1,4,16,3,0,5,2,2,3,0,0,1,0,65,0,4,0,2,6,34,34,14,32,0,0,0,20,9,46,4,61,12,17,0,0,57
1965,293,0,0,0,20,3,13,1,0,1,5,12,3,0,3,3,1,1,0,0,3,4,49,2,2,0,3,4,77,46,16,30,0,0,0,16,11,24,9,85,12,7,0,0,80
1966,92,1,0,0,6,0,2,1,0,0,4,10,1,0,1,12,5,0,0,0,1,1,34,42,5,0,14,0,34,79,14,33,0,0,0,14,2,42,10,53,18,5,0,0,36
1967,69,1,0,0,3,1,7,2,0,0,3,10,1,1,6,2,5,3,0,0,2,2,35,81,4,0,8,10,44,58,7,60,0,0,0,24,3,18,9,72,9,10,0,0,64
1968,92,3,0,1,1,1,9,1,0,2,0,18,2,0,3,6,7,7,6,0,3,5,19,53,2,0,1,7,45,59,6,56,0,0,0,18,4,21,3,69,10,4,0,0,46
1969,85,0,0,0,1,1,1,2,0,3,2,20,0,0,3,5,4,0,1,2,3,2,25,65,9,0,4,3,38,42,13,98,1,0,0,25,5,20,13,52,18,5,0,1,39
1970,173,0,0,1,1,0,10,1,1,3,4,19,2,0,8,7,8,1,1,0,0,2,20,160,4,0,6,3,39,41,11,98,0,0,0,9,4,11,10,67,23,9,1,4,48
1971,152,3,0,0,1,2,17,1,0,1,1,27,0,0,11,7,6,2,0,0,4,1,10,90,3,0,4,1,27,31,7,243,0,0,0,10,2,11,10,76,23,1,0,0,50
1972,151,1,0,0,2,2,18,1,0,0,1,14,1,0,4,23,2,3,1,0,7,0,16,105,2,0,9,215,32,55,30,111,0,0,0,20,7,16,10,69,24,10,0,0,42
1973,238,0,0,4,2,0,12,0,2,0,4,29,1,1,9,14,8,1,1,0,2,2,7,76,7,0,5,165,51,69,28,104,0,0,0,41,2,17,9,69,28,5,0,1,29
1974,279,2,1,0,4,2,21,2,0,0,1,23,0,3,14,21,11,3,5,1,2,0,13,117,2,0,14,163,42,163,12,89,0,0,0,22,4,16,5,59,80,6,0,0,38
1975,127,6,0,0,1,0,3,0,0,1,3,16,0,1,6,3,9,1,6,0,2,1,8,47,4,0,1,679,21,56,18,54,0,0,0,24,1,12,5,88,64,7,0,1,40
1976,92,0,9,0,2,1,6,0,1,1,5,49,1,2,6,28,8,6,2,2,5,1,14,30,8,0,2,237,49,43,109,102,0,0,0,36,16,6,6,90,60,6,0,6,135
1977,53,0,0,4,1,1,4,0,1,0,2,33,1,4,6,10,12,3,3,0,6,2,16,75,7,0,2,49,74,49,132,109,0,0,0,59,4,6,8,122,39,3,0,3,91
1978,81,4,0,2,1,0,5,0,2,0,5,30,2,0,9,8,7,0,1,1,0,7,5,94,6,0,6,2,43,59,51,54,1,0,0,47,2,4,5,73,56,5,0,1,102
1979,145,0,0,1,0,1,4,0,1,1,1,18,0,0,9,25,17,0,2,0,5,51,4,124,3,0,37,1,84,90,53,61,0,0,0,53,11,8,1,83,54,5,0,0,79
1980,180,0,0,0,1,2,18,0,4,1,2,44,0,0,6,14,18,2,2,1,57,1,8,59,6,0,14,32,46,60,122,67,0,0,0,62,4,3,2,70,89,6,0,0,64
1981,221,3,0,0,1,0,3,1,13,2,5,43,0,0,21,9,7,0,4,1,34,1,26,52,7,0,5,51,46,54,84,57,2,2,0,51,3,2,5,87,73,7,0,0,104
1982,158,7,0,2,0,2,6,0,1,0,8,34,0,1,5,11,8,3,0,2,2,0,24,48,18,0,3,0,40,40,51,69,1,0,0,89,2,2,0,88,37,4,0,0,95
1983,95,11,2,4,0,0,12,0,0,0,7,37,1,0,5,11,6,9,3,0,9,1,20,45,5,0,6,0,29,41,43,72,0,0,0,95,2,8,4,96,13,11,0,0,144
1984,135,68,1,1,0,1,24,0,2,3,4,29,1,1,11,14,9,4,3,1,2,5,23,53,8,0,0,0,38,38,46,71,0,0,0,82,2,7,1,108,35,20,1,0,96
1985,81,687,1,1,1,1,11,0,1,3,4,34,1,2,28,13,12,9,3,1,3,1,27,46,12,0,5,0,63,29,47,65,0,0,0,74,3,1,3,105,18,13,0,1,100
1986,78,662,3,4,0,0,13,1,6,0,3,69,0,2,11,52,11,4,3,0,4,1,23,42,7,0,0,1,43,38,46,78,0,0,0,62,3,4,1,91,43,26,0,0,101
1987,54,1075,3,0,0,0,23,0,0,7,3,45,0,2,9,84,8,4,1,0,4,0,33,87,8,0,8,1,22,54,60,124,1,0,0,83,5,6,4,101,32,14,0,1,90
1988,91,593,6,5,2,1,4,0,1,19,2,40,2,2,14,47,18,4,2,1,3,3,28,25,9,0,3,0,43,22,56,88,0,1,0,88,2,7,3,134,49,23,0,2,82
1989,230,346,0,17,1,1,4,0,2,8,1,52,0,2,21,27,9,3,8,1,3,3,16,79,12,0,0,0,56,40,43,67,1,0,0,99,0,3,5,104,32,2,0,1,201
1990,130,279,2,7,1,1,4,0,2,85,3,45,2,1,8,23,17,1,4,0,19,2,13,39,18,0,4,1,40,37,40,69,0,0,0,107,1,3,5,96,24,6,0,8,106
1991,118,197,0,0,0,0,6,0,3,100,5,52,0,0,10,22,8,0,3,3,4,0,5,59,7,0,0,1,14,39,39,58,1,2,1,91,0,1,5,94,27,8,0,3,132
1992,244,312,1,4,1,1,5,0,0,181,1,42,4,0,12,34,20,3,6,0,8,0,14,24,20,0,2,2,24,59,81,98,0,2,0,141,3,2,5,143,14,13,0,0,196
1993,110,291,0,4,0,0,6,0,0,179,1,60,2,2,11,25,17,1,2,3,3,0,14,53,23,0,3,0,26,62,60,107,0,5,0,109,2,2,2,133,5,9,0,2,305
