"wrong_token","true_token"
"yyyy-yyyy","yyyy_yyyy"
"eu-nämnden","eu_nämnden"
"eva-lena","eva_lena"
"ap-fonderna","ap_fonderna"
"eg-domstolen","eg_domstolen"
"anne-marie","anne_marie"
"per-ola","per_ola"
"ulla-britt","ulla_britt"
"eg-rätten","eg_rätten"
"jan-evert","jan_evert"
"britt-marie","britt_marie"
"bengt-anders","bengt_anders"
"n-nn-reglerna","n_nn_reglerna"
"pourbaix-lundin","pourbaix_lundin"
"ees-avtalet","ees_avtalet"
"jan-olof","jan_olof"
"nn-tal","nn_tal"
"ann-christin","ann_christin"
"ann-charlotte","ann_charlotte"
"elmsäter-svärd","elmsäter_svärd"
"eu-sammanhang","eu_sammanhang"
"hjelm-wallen","hjelm_wallen"
"eu-domstolen","eu_domstolen"
"eu-frågorna","eu_frågorna"
"eu-arbetet","eu_arbetet"
"anna-karin","anna_karin"
"ap-fonden","ap_fonden"
"ann-kristine","ann_kristine"
"fn-stadgan","fn_stadgan"
"maj-inger","maj_inger"
"hbt-personer","hbt_personer"
"a-kassorna","a_kassorna"
"wittgren-ahl","wittgren_ahl"
"eu-direktivet","eu_direktivet"
"lars-erik","lars_erik"
"lars-ivar","lars_ivar"
"lars-olov","lars_olov"
"nn-nn","nn_nn"
"eu-systemet","eu_systemet"
"carl-erik","carl_erik"
"carl-johan","carl_johan"
"karl-johan","karl_johan"
"carl-gustav","carl_gustav"
"carl-gustaf","carl_gustaf"
"kjell-olof","kjell_olof"
"eu-kretsen","eu_kretsen"
"eg-direktivet","eg_direktivet"
"sms-lån","sms_lån"
"ap-fondernas","ap_fondernas"
"karl-göran","karl_göran"
"eu-inträdet","eu_inträdet"
"karl-erik","karl_erik"
"eu-området","eu_området"
"atp-systemet","atp_systemet"
"claes-göran","claes_göran"
"kerstin-maria","kerstin_maria"
"per-richard","per_richard"
"pär-axel","pär_axel"
"carl-axel","carl_axel"
"bengt-ola","bengt_ola"
"emu-frågan","emu_frågan"
"id-kort","id_kort"
"nils-erik","nils_erik"
"tenfjord-toftby","tenfjord_toftby"
"eu-ministern","eu_ministern"
"eu-nämndens","eu_nämndens"
"nn-nn-åringar","nn_nn_åringar"
"u-ländernas","u_ländernas"
"eu-politiken","eu_politiken"
"lars-arne","lars_arne"
"staaf-igelström","staaf_igelström"
"oecd-länderna","oecd_länderna"
"eu-valet","eu_valet"
"eu-frågan","eu_frågan"
"tv-kanaler","tv_kanaler"
"karl-gösta","karl_gösta"
"s-regeringen","s_regeringen"
"eu-minister","eu_minister"
"eu-ordförandeskapet","eu_ordförandeskapet"
"ann-marie","ann_marie"
"eu-ländernas","eu_ländernas"
"i-länderna","i_länderna"
"eu-toppmötet","eu_toppmötet"
"eu-konstitutionen","eu_konstitutionen"
"eu-reglerna","eu_reglerna"
"hbt-personers","hbt_personers"
"kjell-erik","kjell_erik"
"vinter-os","vinter_os"
"eu-debatt","eu_debatt"
"a-kasseersättning","a_kasseersättning"
"ees-området","ees_området"
"nn-arbetet","nn_arbetet"
"eu-nämnd","eu_nämnd"
"ilo-konventionen","ilo_konventionen"
"nils-göran","nils_göran"
"eg-kommissionen","eg_kommissionen"
"fn-stadgans","fn_stadgans"
"eu-fördraget","eu_fördraget"
"f-skattsedeln","f_skattsedeln"
"eu-debatten","eu_debatten"
"hvb-hem","hvb_hem"
"yyyy-områden","yyyy_områden"
"fn-konventionen","fn_konventionen"
"eg-domstolens","eg_domstolens"
"n-n","n_n"
"eu-avgiften","eu_avgiften"
"lo-tidningen","lo_tidningen"
"f-skattsedlar","f_skattsedlar"
"emu-medlemskap","emu_medlemskap"
"sms-lånen","sms_lånen"
"carl-johan","carl_johan"
"else-marie","else_marie"
"eu-parlamentets","eu_parlamentets"
"fra-lagen","fra_lagen"
"pbl-kommitten","pbl_kommitten"
"tv-programmet","tv_programmet"
"tv-tittare","tv_tittare"
"wto-förhandlingarna","wto_förhandlingarna"
"yyyy-talen","yyyy_talen"
"yyyy-tal","yyyy_tal"
"rut-tjänster","rut_tjänster"
"hbt-frågor","hbt_frågor"
"mai-avtalet","mai_avtalet"
"yyyy-yyyy","yyyy_yyyy"
"inga-britt","inga_britt"
"per-olof","per_olof"
"digital-tv","digital_tv"
"nn-talisterna","nn_talisterna"
"id-handlingar","id_handlingar"
"us-dollar","us_dollar"
"eu-medlem","eu_medlem"
"a-kassesystemet","a_kassesystemet"
"eu-budgeten","eu_budgeten"
"ap-fondens","ap_fondens"
"offentlighets-principen","offentlighets_principen"
"it-samhället","it_samhället"
"nn-nn-årsåldern","nn_nn_årsåldern"
"tv-lagen","tv_lagen"
"a-kassans","a_kassans"
"a-kassa","a_kassa"
"eu-projektet","eu_projektet"
"starta-eget-bidrag","starta_eget_bidrag"
"tv-tittarna","tv_tittarna"
"ppp-lösningar","ppp_lösningar"
"it-utvecklingen","it_utvecklingen"
"nn-procentsnivån","nn_procentsnivån"
"yyyy-nn","yyyy_nn"
"oecd-området","oecd_området"
"a-kassor","a_kassor"
"fn-ledda","fn_ledda"
"nn-talister","nn_talister"
"emu-projektet","emu_projektet"
"it-branschen","it_branschen"
"eg-fördraget","eg_fördraget"
"mr-situationen","mr_situationen"
"a-kasseersättningen","a_kasseersättningen"
"nn-plus","nn_plus"
"bonus-malus-system","bonus_malus_system"
"nn-n-regeln","nn_n_regeln"
"danestig-olofsson","danestig_olofsson"
"rot-program","rot_program"
"sfi-lärare","sfi_lärare"
"mr-frågor","mr_frågor"
"två-plus-ett-vägar","två_plus_ett_vägar"
"eu-direktiven","eu_direktiven"
"eu-parlamentarikerna","eu_parlamentarikerna"
"n-nn-regler","n_nn_regler"
"tv-verket","tv_verket"
"a-kasseavgiften","a_kasseavgiften"
"kongo-brazzaville","kongo_brazzaville"
"eu-nivån","eu_nivån"
"hbtq-personers","hbtq_personers"
"it-ministern","it_ministern"
"rut-reformen","rut_reformen"
"u-världen","u_världen"
"ap-fonder","ap_fonder"
"it-sektorn","it_sektorn"
"kabel-tv","kabel_tv"
"eu-genomsnittet","eu_genomsnittet"
"u-krediter","u_krediter"
"sfi-bonusen","sfi_bonusen"
"n-procentsmålet","n_procentsmålet"
"per-samuel","per_samuel"
"nn-årsperiod","nn_årsperiod"
"nnn-punktsprogrammet","nnn_punktsprogrammet"
"u-land","u_land"
"it-infrastrukturen","it_infrastrukturen"
"fn-resolutionen","fn_resolutionen"
"lundqvist-brömster","lundqvist_brömster"
"srhr-frågorna","srhr_frågorna"
"ees-avtal","ees_avtal"
"mr-frågorna","mr_frågorna"
"s-kvinnor","s_kvinnor"
"kongo-kinshasa","kongo_kinshasa"
"fotbolls-vm","fotbolls_vm"
"cdm-projekt","cdm_projekt"
"eu-utvidgningen","eu_utvidgningen"
"ceta-avtalet","ceta_avtalet"
"eu-anpassning","eu_anpassning"
"hbt-frågorna","hbt_frågorna"
"csn-kortet","csn_kortet"
"fn-processen","fn_processen"
"nnn-nnn","nnn_nnn"
"nn-årsjubileum","nn_årsjubileum"
"sfi-bonus","sfi_bonus"
"sfi-undervisning","sfi_undervisning"
"eu-kommissionären","eu_kommissionären"
"mr-organisationer","mr_organisationer"
"fn-organet","fn_organet"
"eu-förhandlingarna","eu_förhandlingarna"
"it-frågorna","it_frågorna"
"it-säkerhet","it_säkerhet"
"yyyy-område","yyyy_område"
"eu-fråga","eu_fråga"
"nn-dagarsgaranti","nn_dagarsgaranti"
"fn-konferensen","fn_konferensen"
"fn-sammanhang","fn_sammanhang"
"tv-reklam","tv_reklam"
"it-propositionen","it_propositionen"
"ja-knappen","ja_knappen"
"mr-rådet","mr_rådet"
"anne-katrine","anne_katrine"
"eu-parlamentsvalet","eu_parlamentsvalet"
"fn-organen","fn_organen"
"i-världen","i_världen"
"tv-kanalerna","tv_kanalerna"
"nn-årige","nn_årige"
"a-kassornas","a_kassornas"
"n-procentig","n_procentig"
"oecd-rapporten","oecd_rapporten"
"rut-sektorn","rut_sektorn"
"antingen-eller","antingen_eller"
"it-kommissionen","it_kommissionen"
"läx-rut","läx_rut"
"nn-procentigt","nn_procentigt"
"nnn-dagarsregeln","nnn_dagarsregeln"
"tv-licensen","tv_licensen"
"läsa-skriva-räkna-garanti","läsa_skriva_räkna_garanti"
"per-ingvar","per_ingvar"
"srhr-frågor","srhr_frågor"
"lo-kollektivet","lo_kollektivet"
"lss-reformen","lss_reformen"
"mc-gäng","mc_gäng"
"andt-strategin","andt_strategin"
"s-mp-regeringen","s_mp_regeringen"
"tv-kanal","tv_kanal"
"mr-området","mr_området"
"starta-eget-bidraget","starta_eget_bidraget"
"yyyy-strategin","yyyy_strategin"
"cd-skivor","cd_skivor"
"emu-länderna","emu_länderna"
"ett-kina-politiken","ett_kina_politiken"
"eu-inträde","eu_inträde"
"eu-processen","eu_processen"
"eu-regelverket","eu_regelverket"
"it-minister","it_minister"
"nnn-nn","nnn_nn"
