theme,topic,word,topic_id
sex,sex,bisexuell,0
sex,sex,homosexuell,0
sex,sex,lesbisk,0
sex,sex,transsexuell,0
sex,sex,porr,0
sex,sex,abort,0
sex,sex,aids,0
sex,sex,analsex,0
sex,sex,asexualitet,0
sex,sex,bdsm,0
sex,sex,bisexualitet,0
sex,sex,dagen_efter_piller,0
sex,sex,diagnos,0
sex,sex,frigiditet,0
sex,sex,gonorr,0
sex,sex,graviditet,0
sex,sex,grooming,0
sex,sex,gummivaror,0
sex,sex,hbt,0
sex,sex,heterosexualitet,0
sex,sex,hiv,0
sex,sex,homosexualitet,0
sex,sex,homosexuell_sambo,0
sex,sex,hpv,0
sex,sex,hångla,0
sex,sex,impotens,0
sex,sex,incest,0
sex,sex,intersex,0
sex,sex,intersexuella,0
sex,sex,intersexuellas_könstillhörighet,0
sex,sex,kemsex,0
sex,sex,klamydia,0
sex,sex,klittra,0
sex,sex,kondom,0
sex,sex,kön,0
sex,sex,könsdrift,0
sex,sex,könsdysfori,0
sex,sex,könsneutrala_äktenskap,0
sex,sex,könsorgan,0
sex,sex,könssjukdomar,0
sex,sex,libido,0
sex,sex,lust,0
sex,sex,masochism,0
sex,sex,masturbera,0
sex,sex,masturbation,0
sex,sex,missfall,0
sex,sex,njutning,0
sex,sex,onani,0
sex,sex,orgasm,0
sex,sex,orgie,0
sex,sex,otukt,0
sex,sex,p_piller,0
sex,sex,p_skum,0
sex,sex,p_spruta,0
sex,sex,p_stav,0
sex,sex,penis,0
sex,sex,pervers,0
sex,sex,perversion,0
sex,sex,pessar,0
sex,sex,petting,0
sex,sex,potens,0
sex,sex,preventivmedel,0
sex,sex,pornografi,0
sex,sex,prostitution,0
sex,sex,registrerat_partnerskap,0
sex,sex,runka,0
sex,sex,samlag,0
sex,sex,samlagsställning,0
sex,sex,sex,0
sex,sex,sex_och_samlevnad,0
sex,sex,sexhandel,0
sex,sex,sexköp,0
sex,sex,sexolog,0
sex,sex,sexologi,0
sex,sex,sexorgie,0
sex,sex,sexting,0
sex,sex,sexual_och_samlevnadsundervisning,0
sex,sex,sexualisk,0
sex,sex,sexualitet,0
sex,sex,sexualkunskap,0
sex,sex,sexualmoral,0
sex,sex,sexualupplysning,0
sex,sex,sexuella_övergrepp,0
sex,sex,sexuellt_uttryck,0
sex,sex,sexuellt_våld,0
sex,sex,sexull_identitet,0
sex,sex,spiral,0
sex,sex,sterilisering,0
sex,sex,syfilis,0
sex,sex,transsexualism,0
sex,sex,transvestism,0
sex,sex,vagina,0
sex,sex,vaginism,0
sex,sex,vestibulit,0
sex,sex,viagra,0
sex,sex,vulvasmärta,0
sex,sex,våldtäkt,0
jurisprudence,crime,antasta,1
jurisprudence,crime,beroendeställning,1
jurisprudence,crime,bevistalan,1
jurisprudence,crime,bilstöld,1
jurisprudence,crime,bostadsinbrott,1
jurisprudence,crime,brottslighet,1
jurisprudence,crime,brottsligheten,1
jurisprudence,crime,brottsligt,1
jurisprudence,crime,cykelstöld,1
jurisprudence,crime,dagsböter,1
jurisprudence,crime,diskriminering,1
jurisprudence,crime,fotboja,1
jurisprudence,crime,företagsbot,1
jurisprudence,crime,grooming,1
jurisprudence,crime,incest,1
jurisprudence,crime,justitieminister,1
jurisprudence,crime,kriminalitet,1
jurisprudence,crime,kriminaliteten,1
jurisprudence,crime,kriminalpolitik,1
jurisprudence,crime,kriminell,1
jurisprudence,crime,livstidsstraff,1
jurisprudence,crime,misshandel,1
jurisprudence,crime,narkotikabrott,1
jurisprudence,crime,narkotikasmuggling,1
jurisprudence,crime,ofredande,1
jurisprudence,crime,otukt,1
jurisprudence,crime,personrån,1
jurisprudence,crime,polischefen,1
jurisprudence,crime,polismyndigheten,1
jurisprudence,crime,prostitution,1
jurisprudence,crime,rikspolisstyrelsen,1
jurisprudence,crime,rättspsykiatrisk,1
jurisprudence,crime,samhällstjänst,1
jurisprudence,crime,sexualbrott,1
jurisprudence,crime,sexuellt_våld,1
jurisprudence,crime,skadestånd,1
jurisprudence,crime,skyddstillsyn,1
jurisprudence,crime,säkerhetspolisen,1
jurisprudence,crime,tafsa,1
jurisprudence,crime,tidelag,1
jurisprudence,crime,trakasserier,1
jurisprudence,crime,ungdomstjänst,1
jurisprudence,crime,ungdomsvård,1
jurisprudence,crime,villkorlig_dom,1
jurisprudence,crime,villkorlig_frigivning,1
jurisprudence,crime,våldtäkt,1
jurisprudence,crime,övergrepp,1
jurisprudence,decriminalization,avkriminalisering,2
jurisprudence,decriminalization,legalisering,2
jurisprudence,decriminalization,prostitution,2
jurisprudence,social_human_rights,amnesty_international,3
jurisprudence,social_human_rights,antidiskriminering,3
jurisprudence,social_human_rights,barnkonventionen,3
jurisprudence,social_human_rights,diskrimineringslag,3
