,0,1,2,3,4,5,6,7,8,9,10
theme,sex,jurisprudence,jurisprudence,jurisprudence,health,health,morality,morality,education,relationship,relationship
topic,sex,crime,decriminalization,social_human_rights,disease,healthcare,religion,moral,education,relationship,family
0,fängelse,narkotika,sjukdom,skolan,föräldrar,sjukhus,polen,kyrkan,israel,kvinnor,rättigheter
1,brott,droger,sjuk,elever,barn,vård,principer,förhållanden,familj,sex,mänskliga_rättigheter
2,misshandel,ask,läkemedel,lärare,mamma,läkare,ungern,gud,israeliska,män,kosovo
3,övergrepp,kriminalvården,cancer,utbildning,pappa,vården,polska,påven,palestinska,kvinnorna,tortyr
4,dömdes,beatrice,sjukdomar,skola,familjen,patienter,synd,äktenskap,muslimska,kön,serbien
5,brottslighet,cannabis,behandling,eleverna,barnet,regioner,polens,kyrkans,israels,kvinnliga,fns
6,åklagaren,missbrukare,depression,skolor,barnen,socialstyrelsen,pis,katolska,gaza,kvinnors,fn
7,tingsrätt,intagna,sjukdomen,kunskap,bror,sjukvården,orbån,kyrka,håmås,kvinna,mänskligheten
8,grovt,tullen,diagnos,studenter,son,sjukhuset,ungerska,sambo,kristna,männen,sudan
9,grov,kokain,diabetes,betyg,dotter,hälso,viktor,präst,jerusalem,abort,haag
10,åringen,missbruk,medicin,skolorna,mamman,äldreomsorgen,kaczynski,flickvän,islam,manliga,burma
11,rättegången,bodström,behandlingen,lärarna,föräldrarna,patienterna,moral,franciskus,netanyahu,sexuella,bosnien
12,justitieminister,tiggare,mediciner,skolans,pappan,patienten,warszawa,vatikanen,palestinier,jämställdhet,röda_korset
13,mannen,heroin,drabbas,skolverket,hustru,landstingen,ungerns,prästen,västbanken,sexuella_övergrepp,serbiska
14,diskriminering,tullverket,risken,elev,sonen,sjukvård,ärlig,jesus,abbas,flickor,milosevic
15,åtalade,thomas,patienter,rektor,förälder,sjuksköterskor,etik,pojkvän,palestinierna,lust,suu
16,tingsrätten,tiggeri,hiv,gymnasiet,gifta,läkaren,fidesz,johannes,libanon,unga,rättighet
17,trakasserier,amfetamin,antibiotika,undervisning,syster,patient,jaroslaw,församlingen,arafat,mäns,rwanda
18,döms,beslag,fetma,undervisningen,far,socialminister,budapest,påve,israelisk,kvinnlig,aung
19,skadestånd,kilo,sjukskriven,grundskolan,dottern,karolinska,rättvisa,kyrkor,sharon,våld,belgrad
