,0,1,2,3,4,5,6,7,8,9,10
theme,sex,jurisprudence,jurisprudence,jurisprudence,health,health,morality,morality,education,relationship,relationship
topic,sex,crime,decriminalization,social_human_rights,disease,healthcare,religion,moral,education,relationship,family
0,fängelse,säger,sjukdom,skolan,barn,sjukhus,polen,kyrkan,israel,kvinnor,rättigheter
1,brott,personer,sjuk,elever,föräldrar,vård,ungern,förhållanden,familj,sex,mänskliga_rättigheter
2,mannen,in,läkemedel,lärare,mamma,läkare,principer,örn,israeliska,män,fns
3,åringen,örn,hos,utbildning,pappa,patienter,polska,gud,palestinska,kvinnorna,fn
4,års,enligt,behandling,skola,barnen,vården,regeringen,svenska,muslimska,kvinna,internationella
5,åklagaren,finns,risken,skolor,familjen,regioner,synd,påven,israels,männen,kosovo
6,dömdes,narkotika,sjukdomar,eleverna,barnet,socialstyrelsen,landet,katolska,gaza,kvinnliga,serbien
7,grovt,thomas,cancer,kunskap,son,sjukvården,viktor,äktenskap,håmås,unga,landet
8,misshandel,sverige,drabbas,studenter,föräldrarna,sjukhuset,landets,kyrkans,kristna,kön,tortyr
9,övergrepp,droger,patienter,betyg,år,personal,polens,dag,jerusalem,kvinnors,mänskligheten
10,tingsrätt,flera,sjukdomen,skolorna,dotter,stockholm,oberoende,kyrka,islam,våld,sudan
11,rättegången,spel,risk,lärarna,bror,sjukvård,lag,många,netanyahu,örn,haag
12,mord,kriminalvården,läkare,skolans,far,hälso,pis,sambo,palestinier,flickor,burma
13,brottslighet,andra,depression,skolverket,mamman,karolinska,ungerska,tro,västbanken,kvinnan,bosnien
14,två,dag,kroppen,gymnasiet,sonen,patienterna,orbån,religiösa,libanon,sexuella,röda_korset
15,grov,ask,forskarna,elev,hemma,äldreomsorgen,rättvisa,andra,abbas,barn,brott
16,tingsrätten,även,medicin,rektor,pappan,patienten,samtidigt,homosexuella,palestinierna,manliga,generalsekreterare
17,åtalade,beatrice,får,svenska,hos,landsting,demokratin,par,premiärminister,abort,milosevic
18,justitieminister,kilo,studier,får,hustru,personalen,kaczynski,johannes,mellanöstern,jämställdhet,san
19,årig,missbruk,behandlingen,undervisning,två,läkaren,warszawa,präst,arafat,fler,serbiska
